Year,Field,Subject,World Rank,Institution,Total Score,Q1,CNCI,IC,TOP,AWARD
2021,Engineering,Environmental Science & Engineering,1,Harvard University,344.5,71.1,86.9,83.5,69.8,100
2021,Engineering,Environmental Science & Engineering,2,Stanford University,332.1,58.2,89.9,77.4,81.9,86.6
2021,Engineering,Environmental Science & Engineering,3,ETH Zurich,327.0,74.7,84.4,88.9,100,50
2021,Engineering,Environmental Science & Engineering,4,University of Wisconsin - Madison,300.6,54.4,76.7,71.7,55.1,100
2021,Engineering,Environmental Science & Engineering,5,Michigan State University,294.5,53.4,76.4,76.7,49.4,100
2021,Engineering,Environmental Science & Engineering,6,"University of California, Davis",293.8,59.7,71.5,73.4,61.3,86.6
2021,Engineering,Environmental Science & Engineering,7,Tsinghua University,288.5,100,83,66.6,92.2,0
2021,Engineering,Environmental Science & Engineering,8,Technical University of Denmark,281.8,61.7,75.1,85.1,57.4,70.7
2021,Engineering,Environmental Science & Engineering,9,Massachusetts Institute of Technology (MIT),276.3,51.8,83,81.9,54.3,70.7
2021,Engineering,Environmental Science & Engineering,10,University of Alberta,274.3,52.7,71.5,78.6,63.7,70.7
2021,Engineering,Environmental Science & Engineering,11,Arizona State University,270.9,53.2,78.1,72.7,54.3,70.7
2021,Engineering,Environmental Science & Engineering,12,Princeton University,269.5,41,90.4,81.3,35.2,86.6
2021,Engineering,Environmental Science & Engineering,13,Nanjing University,268.9,84.1,77.7,68.6,93.4,0
2021,Engineering,Environmental Science & Engineering,14,Peking University,267.8,84.2,82.5,69.7,87.2,0
2021,Engineering,Environmental Science & Engineering,15,Technical University of Munich,263.0,43.7,76,82.2,40.3,86.6
2021,Engineering,Environmental Science & Engineering,16,University of Copenhagen,258.7,57,80.2,89.7,42.4,61.2
2021,Engineering,Environmental Science & Engineering,17,"University of California, Berkeley",255.3,70.1,79.8,75.2,90.3,0
2021,Engineering,Environmental Science & Engineering,17,"University of Maryland, College Park",255.3,57.9,84.2,75.2,37,61.2
2021,Engineering,Environmental Science & Engineering,19,California Institute of Technology,245.6,50.3,87.7,81.4,41.3,50
2021,Engineering,Environmental Science & Engineering,20,Delft University of Technology,242.1,53.2,73.9,86.8,27,70.7
2021,Engineering,Environmental Science & Engineering,21,The University of Western Australia,239.4,44.9,76.3,83.8,30.7,70.7
2021,Engineering,Environmental Science & Engineering,22,Wageningen University & Research,236.0,77.7,86.1,89.6,54.3,0
2021,Engineering,Environmental Science & Engineering,23,University of Cape Town,235.1,34.8,74.2,83.8,9.2,100
2021,Engineering,Environmental Science & Engineering,24,The Ohio State University - Columbus,233.9,42.7,74,70.3,41.9,61.2
2021,Engineering,Environmental Science & Engineering,25,Zhejiang University,233.1,76.1,75.1,67.7,68.3,0
2021,Engineering,Environmental Science & Engineering,26,The University of Queensland,232.8,76.2,78.6,85.3,61,0
2021,Engineering,Environmental Science & Engineering,27,University of Colorado at Boulder,229.6,64.5,80.1,74.3,70.1,0
2021,Engineering,Environmental Science & Engineering,28,Georgia Institute of Technology,228.7,52.7,83.2,84.1,76,0
2021,Engineering,Environmental Science & Engineering,29,Stockholm University,223.4,56.9,86.4,90.9,62,0
2021,Engineering,Environmental Science & Engineering,30,University of Toronto,223.0,58.9,72.1,78.8,76.2,0
2021,Engineering,Environmental Science & Engineering,31,Johns Hopkins University,221.8,35.7,71.9,77.2,37.6,61.2
2021,Engineering,Environmental Science & Engineering,32,Tongji University,220.5,71.4,72,62.2,64.7,0
2021,Engineering,Environmental Science & Engineering,33,University of Washington,219.5,60.8,84,73.9,59.9,0
2021,Engineering,Environmental Science & Engineering,34,University of Michigan-Ann Arbor,218.9,57.6,74.9,72.4,71.9,0
2021,Engineering,Environmental Science & Engineering,35,King's College London,216.3,32.5,81.2,84.5,24.5,61.2
2021,Engineering,Environmental Science & Engineering,36,Yale University,215.5,47.7,83.3,79.4,68.6,0
2021,Engineering,Environmental Science & Engineering,37,Utrecht University,213.7,61.6,87.9,87.5,46.7,0
2021,Engineering,Environmental Science & Engineering,38,Beijing Normal University,213.5,80.7,72.9,64,47.1,0
2021,Engineering,Environmental Science & Engineering,39,Duke University,211.5,51,79.9,74.4,65.7,0
2021,Engineering,Environmental Science & Engineering,40,Sun Yat-sen University,207.4,64.7,79.2,66.5,50.2,0
2021,Engineering,Environmental Science & Engineering,41,Swiss Federal Institute of Technology Lausanne,207.0,40.6,97,87.3,51.9,0
2021,Engineering,Environmental Science & Engineering,42,Harbin Institute of Technology,206.6,64.7,77.5,56.3,53.1,0
2021,Engineering,Environmental Science & Engineering,42,University of British Columbia,206.6,59.6,82.4,82.5,48,0
2021,Engineering,Environmental Science & Engineering,44,Aarhus University,205.9,62.4,75.9,91.8,49.4,0
2021,Engineering,Environmental Science & Engineering,44,Fudan University,205.9,55.7,80.1,71.6,55.9,0
2021,Engineering,Environmental Science & Engineering,46,The University of New South Wales,203.9,58.2,77.4,80.4,52.3,0
2021,Engineering,Environmental Science & Engineering,47,The University of Hong Kong,203.2,52.1,79.5,67.1,58.1,0
2021,Engineering,Environmental Science & Engineering,48,"University of Minnesota, Twin Cities",201.4,53,76.4,71.2,57.7,0
2021,Engineering,Environmental Science & Engineering,49,Nankai University,200.8,51.6,81.8,54.2,56.6,0
2021,Engineering,Environmental Science & Engineering,50,University of Illinois at Urbana-Champaign,200.2,51.2,72.7,71.5,62,0
2021,Engineering,Environmental Science & Engineering,51-75,Carnegie Mellon University,,38.5,74.9,70.7,68.3,0
2021,Engineering,Environmental Science & Engineering,51-75,Colorado State University,,57.2,72,68.2,56.6,0
2021,Engineering,Environmental Science & Engineering,51-75,Columbia University,,56.9,79.1,81.6,41.9,0
2021,Engineering,Environmental Science & Engineering,51-75,Ghent University,,55.1,71.6,88.6,48.9,0
2021,Engineering,Environmental Science & Engineering,51-75,Huazhong University of Science and Technology,,53.7,79.3,53.3,45.8,0
2021,Engineering,Environmental Science & Engineering,51-75,Hunan University,,49.3,100,49.1,29.2,0
2021,Engineering,Environmental Science & Engineering,51-75,Imperial College London,,55.6,83.4,90,42.4,0
2021,Engineering,Environmental Science & Engineering,51-75,Jinan University,,51.8,76.6,66.6,50.2,0
2021,Engineering,Environmental Science & Engineering,51-75,King Abdulaziz University,,42.4,89.6,97.5,38.7,0
2021,Engineering,Environmental Science & Engineering,51-75,McGill University,,50.6,79.4,81.4,42.4,0
2021,Engineering,Environmental Science & Engineering,51-75,Nanyang Technological University,,47.8,85,87.8,43.4,0
2021,Engineering,Environmental Science & Engineering,51-75,National University of Singapore,,54.4,79.7,87.7,44.8,0
2021,Engineering,Environmental Science & Engineering,51-75,Shanghai Jiao Tong University,,58.7,76.6,64.7,40.3,0
2021,Engineering,Environmental Science & Engineering,51-75,Swedish University of Agricultural Sciences,,55.9,75.6,84.9,45.3,0
2021,Engineering,Environmental Science & Engineering,51-75,The Hong Kong Polytechnic University,,59.2,89.6,68.8,35.8,0
2021,Engineering,Environmental Science & Engineering,51-75,The Hong Kong University of Science and Technology,,44.5,82.6,64.4,48.9,0
2021,Engineering,Environmental Science & Engineering,51-75,The University of Texas at Austin,,43.3,79.8,67.7,57,0
2021,Engineering,Environmental Science & Engineering,51-75,Tianjin University,,59.3,75.6,58.3,43.4,0
2021,Engineering,Environmental Science & Engineering,51-75,"University of California, Irvine",,45.3,82.3,80.2,49.8,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Exeter,,52.4,87,85.3,37,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Florida,,57.7,70.7,78,51.5,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Leeds,,57.5,82.2,83.5,35.8,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Massachusetts Amherst,,43.9,78.1,81.8,51.5,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Saskatchewan,,45.8,70.4,84,57.7,0
2021,Engineering,Environmental Science & Engineering,51-75,University of Science and Technology of China,,50.9,86.8,55.3,44.3,0
2021,Engineering,Environmental Science & Engineering,76-100,Central South University,,50.2,89.2,53.7,28.5,0
2021,Engineering,Environmental Science & Engineering,76-100,City University of Hong Kong,,46.7,77.9,65.5,42.4,0
2021,Engineering,Environmental Science & Engineering,76-100,Cornell University,,49.9,70.9,68.2,44.3,0
2021,Engineering,Environmental Science & Engineering,76-100,Dalian University of Technology,,50.6,72.5,53.7,46.7,0
2021,Engineering,Environmental Science & Engineering,76-100,East China Normal University,,45.2,83.7,67.9,37,0
2021,Engineering,Environmental Science & Engineering,76-100,Karlsruhe Institute of Technology (KIT),,52.7,78.4,87.6,36.4,0
2021,Engineering,Environmental Science & Engineering,76-100,Lancaster University,,47.3,78.7,86.9,40.3,0
2021,Engineering,Environmental Science & Engineering,76-100,Nanjing University of Information Science & Technology,,55.5,73.5,71.4,42.4,0
2021,Engineering,Environmental Science & Engineering,76-100,North Carolina State University - Raleigh,,47,69.2,64.8,53.9,0
2021,Engineering,Environmental Science & Engineering,76-100,Oregon State University,,51.3,74,68.3,48,0
2021,Engineering,Environmental Science & Engineering,76-100,Pennsylvania State University - University Park,,44.4,72.6,71.8,51.1,0
2021,Engineering,Environmental Science & Engineering,76-100,Purdue University - West Lafayette,,48.2,71.9,72.7,51.5,0
2021,Engineering,Environmental Science & Engineering,76-100,Sorbonne University,,55.6,75.7,89.1,32.7,0
2021,Engineering,Environmental Science & Engineering,76-100,South China University of Technology,,54,82.2,55.6,36.4,0
2021,Engineering,Environmental Science & Engineering,76-100,Tel Aviv University,,23.1,64.4,73.8,6.5,70.7
2021,Engineering,Environmental Science & Engineering,76-100,Texas A&M University,,51.9,68.7,76.6,47.6,0
2021,Engineering,Environmental Science & Engineering,76-100,Université Grenoble Alpes,,44.7,77.5,86.9,42.4,0
2021,Engineering,Environmental Science & Engineering,76-100,"University of California, Los Angeles",,46.3,80.5,77,38.1,0
2021,Engineering,Environmental Science & Engineering,76-100,"University of California, Riverside",,41.2,68.7,74.9,55.5,0
2021,Engineering,Environmental Science & Engineering,76-100,"University of California, Santa Barbara",,42.1,87.2,77.5,40.8,0
2021,Engineering,Environmental Science & Engineering,76-100,University of Cambridge,,52.9,82.8,87.6,29.2,0
2021,Engineering,Environmental Science & Engineering,76-100,University of Chicago,,35.3,83.8,74.9,44.8,0
2021,Engineering,Environmental Science & Engineering,76-100,University of Helsinki,,56.7,72,84.8,41.3,0
2021,Engineering,Environmental Science & Engineering,76-100,University of North Carolina at Chapel Hill,,44.1,74,67.7,51.5,0
2021,Engineering,Environmental Science & Engineering,76-100,Vrije Universiteit Amsterdam,,48,83,89.4,32,0
2021,Engineering,Environmental Science & Engineering,101-150,Aix Marseille University,,40.4,68.4,82.5,40.8,0
2021,Engineering,Environmental Science & Engineering,101-150,Boston University,,40.7,88.3,73.3,32.7,0
2021,Engineering,Environmental Science & Engineering,101-150,China Agricultural University,,53.2,70.5,66.9,35.8,0
2021,Engineering,Environmental Science & Engineering,101-150,Chongqing University,,49.8,75.9,59.7,27,0
2021,Engineering,Environmental Science & Engineering,101-150,Curtin University,,39.3,76.8,80.2,35.8,0
2021,Engineering,Environmental Science & Engineering,101-150,Dalhousie University,,35.6,85.8,81.4,36.4,0
2021,Engineering,Environmental Science & Engineering,101-150,Griffith University,,48.7,74.5,80.5,29.2,0
2021,Engineering,Environmental Science & Engineering,101-150,Humboldt University of Berlin,,40.6,90,85.1,21.7,0
2021,Engineering,Environmental Science & Engineering,101-150,King Abdullah University of Science and Technology,,33.4,89.3,97.1,34,0
2021,Engineering,Environmental Science & Engineering,101-150,KU Leuven,,47.3,75.7,85.8,37.6,0
2021,Engineering,Environmental Science & Engineering,101-150,Lund University,,51.3,76.7,84.2,23.6,0
2021,Engineering,Environmental Science & Engineering,101-150,Masaryk University,,35.5,74.4,86.1,42.9,0
2021,Engineering,Environmental Science & Engineering,101-150,Monash University,,48.2,80,79.4,32,0
2021,Engineering,Environmental Science & Engineering,101-150,Nanjing Agricultural University,,45.4,75.3,65,40.3,0
2021,Engineering,Environmental Science & Engineering,101-150,North China Electric Power University,,44.3,78,58.2,36.4,0
2021,Engineering,Environmental Science & Engineering,101-150,Norwegian University of Science and Technology - NTNU,,44.4,71.5,80.8,42.9,0
2021,Engineering,Environmental Science & Engineering,101-150,Paul Sabatier University (Toulouse 3),,46.5,78.8,90.5,32,0
2021,Engineering,Environmental Science & Engineering,101-150,Queensland University of Technology,,44.6,80,84.1,26.1,0
2021,Engineering,Environmental Science & Engineering,101-150,"Rutgers, The State University of New Jersey - New Brunswick",,40.1,71.6,72.7,48,0
2021,Engineering,Environmental Science & Engineering,101-150,Shandong University,,55.2,73.8,55.9,32.7,0
2021,Engineering,Environmental Science & Engineering,101-150,Soochow University (China),,33,96.6,62.1,30,0
2021,Engineering,Environmental Science & Engineering,101-150,The University of Adelaide,,42.4,78.5,81.2,27.7,0
2021,Engineering,Environmental Science & Engineering,101-150,The University of Georgia,,40.2,71.5,65.4,40.8,0
2021,Engineering,Environmental Science & Engineering,101-150,The University of Manchester,,46.9,78,79.7,35.2,0
2021,Engineering,Environmental Science & Engineering,101-150,The University of Melbourne,,56.2,74.9,76.4,27.7,0
2021,Engineering,Environmental Science & Engineering,101-150,Umea University,,38,73.5,80.7,42.4,0
2021,Engineering,Environmental Science & Engineering,101-150,University at Albany (State University of New York),,33.7,78.4,83.9,37,0
2021,Engineering,Environmental Science & Engineering,101-150,University College London,,48.5,80.7,81.3,26.1,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Antwerp,,45,76.4,86.1,33.3,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Arizona,,47.8,74,76.1,36.4,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Basel,,34.1,82.6,92.3,29.2,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Bern,,39.1,77.2,89.3,31.4,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Birmingham,,42,75.3,88.4,40.3,0
2021,Engineering,Environmental Science & Engineering,101-150,"University of California, San Diego",,39.8,81.7,78.9,39.2,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Cincinnati,,38,81.8,80.7,37,0
2021,Engineering,Environmental Science & Engineering,101-150,University of East Anglia,,40.6,86.3,89.7,24.5,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Iowa,,33,67.7,65.6,53.1,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Oslo,,36.3,74,86.1,36.4,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Oxford,,57.2,82.2,88.4,19.6,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Sao Paulo,,59,65.6,74,24.5,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Technology Sydney,,44.7,82.4,86.6,22.6,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Tuebingen,,28.7,85.3,88.8,42.9,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Versailles Saint-Quentin-en-Yvelines,,49.1,87.6,94.6,18.5,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Vienna,,32,76.4,92.1,37.6,0
2021,Engineering,Environmental Science & Engineering,101-150,University of Waterloo,,45.6,68.7,79.6,42.4,0
2021,Engineering,Environmental Science & Engineering,101-150,University of York,,36,79.6,83.2,31.4,0
2021,Engineering,Environmental Science & Engineering,101-150,Virginia Polytechnic Institute and State University,,42.8,67.5,60.6,47.6,0
2021,Engineering,Environmental Science & Engineering,101-150,Wuhan University,,59.5,70.2,55.9,30,0
2021,Engineering,Environmental Science & Engineering,101-150,Xiamen University,,50.5,78.7,61.3,35.2,0
2021,Engineering,Environmental Science & Engineering,101-150,Zhejiang University of Technology,,39.9,78,57.3,38.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Autonomous University of Barcelona,,49.9,76.9,84.3,18.5,0
2021,Engineering,Environmental Science & Engineering,151-200,Beijing Institute of Technology,,39.9,87.2,60.3,19.6,0
2021,Engineering,Environmental Science & Engineering,151-200,Carleton University,,32.6,71.9,74.7,41.3,0
2021,Engineering,Environmental Science & Engineering,151-200,Chalmers University of Technology,,39.3,76.2,73.9,28.5,0
2021,Engineering,Environmental Science & Engineering,151-200,China University of Geosciences (Wuhan),,42.9,70.5,63.4,34,0
2021,Engineering,Environmental Science & Engineering,151-200,Colorado School of Mines,,30.6,71.3,61,44.3,0
2021,Engineering,Environmental Science & Engineering,151-200,Emory University,,31.9,84.7,74.7,31.4,0
2021,Engineering,Environmental Science & Engineering,151-200,Guangdong University of Technology,,39.3,82.7,56.1,29.2,0
2021,Engineering,Environmental Science & Engineering,151-200,Huazhong Agricultural University,,39.5,68.9,71.1,38.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Jiangsu University,,35.9,92.9,52.1,16,0
2021,Engineering,Environmental Science & Engineering,151-200,Korea University,,44.7,69.2,63.3,31.4,0
2021,Engineering,Environmental Science & Engineering,151-200,Leiden University,,33.2,82.7,90,25.3,0
2021,Engineering,Environmental Science & Engineering,151-200,Newcastle University,,36,75.8,81.2,30.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Northwest A&F University,,50.3,70.7,63,23.6,0
2021,Engineering,Environmental Science & Engineering,151-200,Northwestern University,,26.3,82.9,72.5,34.6,0
2021,Engineering,Environmental Science & Engineering,151-200,Norwegian University of Life Sciences,,38.5,74.5,88,24.5,0
2021,Engineering,Environmental Science & Engineering,151-200,Paris-Saclay University,,48.9,71.6,80.9,20.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Pohang University of Science and Technology,,27.4,85,64.7,37,0
2021,Engineering,Environmental Science & Engineering,151-200,Pompeu Fabra University,,34,83.6,94.3,21.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Rice University,,24.9,74.5,78.1,42.9,0
2021,Engineering,Environmental Science & Engineering,151-200,RWTH Aachen University,,36.8,71.3,82.4,36.4,0
2021,Engineering,Environmental Science & Engineering,151-200,Seoul National University,,49.4,65.8,61.6,32.7,0
2021,Engineering,Environmental Science & Engineering,151-200,Shenzhen University,,37.3,81.8,70.2,24.5,0
2021,Engineering,Environmental Science & Engineering,151-200,Southern University of Science and Technology,,32.7,84.6,76,29.2,0
2021,Engineering,Environmental Science & Engineering,151-200,Technical University of Berlin,,38,75.4,73.5,27,0
2021,Engineering,Environmental Science & Engineering,151-200,The Australian National University,,45.8,80.8,77.6,14.6,0
2021,Engineering,Environmental Science & Engineering,151-200,The Chinese University of Hong Kong,,38.7,81.3,71.6,29.2,0
2021,Engineering,Environmental Science & Engineering,151-200,The University of Edinburgh,,47.1,76.4,82.3,21.7,0
2021,Engineering,Environmental Science & Engineering,151-200,The University of Tokyo,,45,62.5,77,32,0
2021,Engineering,Environmental Science & Engineering,151-200,Université Gustave Eiffel,,33.1,75.4,81.9,37,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Aveiro,,50.5,67.8,79.4,23.6,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Barcelona,,47.1,74.6,80.7,25.3,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Connecticut,,34.7,74.8,73.6,38.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Delaware,,34.2,68,75.6,46.2,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Girona,,37.4,78.4,76.4,24.5,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Gothenburg,,36.8,79.4,80.3,27.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Montpellier,,48.7,73.9,86.6,20.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Montreal,,41.8,66.8,74.5,34.6,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Oklahoma - Norman,,35,75.5,84.5,32.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Ottawa,,33.7,73.3,77.3,33.3,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Plymouth,,31.6,86.1,79.6,24.5,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Savoy,,26.1,79.4,87.6,35.2,0
2021,Engineering,Environmental Science & Engineering,151-200,University of South Australia,,35.5,69.9,80.2,38.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of South Carolina - Columbia,,31.8,78,76.3,35.2,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Southampton,,41.6,80.7,85,20.7,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Sussex,,31.5,94.8,84.2,18.5,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Tennessee - Knoxville,,38.2,70.5,73.2,38.1,0
2021,Engineering,Environmental Science & Engineering,151-200,University of Zurich,,31.6,79.2,89.5,26.1,0
2021,Engineering,Environmental Science & Engineering,151-200,Washington University in St. Louis,,26.4,69.5,68.6,49.8,0
2021,Engineering,Environmental Science & Engineering,151-200,Wuhan University of Technology,,33.6,94.5,62.9,13.1,0
2021,Engineering,Environmental Science & Engineering,201-300,Aalborg University,,34.6,75.9,81.1,25.3,0
2021,Engineering,Environmental Science & Engineering,201-300,Bangor University,,27.8,77,87.5,18.5,0
2021,Engineering,Environmental Science & Engineering,201-300,Beihang University,,33.4,75.7,57.9,23.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Beijing Forestry University,,39.7,66.5,57.1,22.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Ben-Gurion University of the Negev,,32.1,66.5,78.1,30,0
2021,Engineering,Environmental Science & Engineering,201-300,Brown University,,28.4,77.1,77.5,27.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Cardiff University,,33.6,76.1,76.6,20.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Catholic University of Louvain,,28,82.8,90,13.1,0
2021,Engineering,Environmental Science & Engineering,201-300,China University of Geosciences (Beijing),,39.1,69.6,52.1,25.3,0
2021,Engineering,Environmental Science & Engineering,201-300,China University of Petroleum - Beijing,,31.7,72.6,64.5,22.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Claude Bernard University Lyon 1,,32.8,63.5,78.4,34.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Clemson University,,28.2,65.8,62,39.2,0
2021,Engineering,Environmental Science & Engineering,201-300,Dartmouth College,,26.5,73.1,62.7,27.7,0
2021,Engineering,Environmental Science & Engineering,201-300,East China University of Science and Technology,,41,74.3,52.5,26.1,0
2021,Engineering,Environmental Science & Engineering,201-300,Florida International University,,31.5,70.9,74.4,27.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Florida State University,,28.1,72.6,74.7,37.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Free University Berlin,,28,82.3,82.3,20.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Fuzhou University,,33.2,88.5,58.4,14.6,0
2021,Engineering,Environmental Science & Engineering,201-300,Guangzhou University,,31.8,83.6,64.3,21.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Hanyang University,,38.4,69.2,62.2,26.1,0
2021,Engineering,Environmental Science & Engineering,201-300,Hohai University,,46.5,59.6,60.6,31.4,0
2021,Engineering,Environmental Science & Engineering,201-300,Hokkaido University,,39.8,65.9,77.3,30,0
2021,Engineering,Environmental Science & Engineering,201-300,Hong Kong Baptist University,,28.9,70.5,61.6,30.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Indiana University Bloomington,,31.6,74.2,66.8,32.7,0
2021,Engineering,Environmental Science & Engineering,201-300,Institut Agro,,36.4,76.3,85,16,0
2021,Engineering,Environmental Science & Engineering,201-300,James Cook University,,42.2,81.3,82.6,13.1,0
2021,Engineering,Environmental Science & Engineering,201-300,KTH Royal Institute of Technology,,38.3,78.8,77.5,17.3,0
2021,Engineering,Environmental Science & Engineering,201-300,Kyoto University,,39.3,59.5,75,37.6,0
